Rent_PI,PCPI,UER,GDP,Pop,NPHU,lnpc,lnuer,lnrpi
255.886,48796,9.7,240222.89,610639,1335.555314,10.79540362,2.272125886,5.544732033
254.311,48796,10.3,241152.395,610639,822.1264245,10.79540362,2.332143895,5.538557927
253.922,48796,10.3,242081.9,610639,675.9893399,10.79540362,2.332143895,5.537027133
252.538,48796,10.2,243011.405,610639,720.9962847,10.79540362,2.32238772,5.531561732
251.387,48796,9.3,243940.91,610639,541.0836794,10.79540362,2.2300144,5.526993584
251.703,48796,9.4,244870.415,610639,735.690409,10.79540362,2.240709689,5.528249821
251.314,48796,9.8,245799.92,610639,697.7909683,10.79540362,2.282382386,5.526703153
252.107,48796,9.6,246729.425,610639,1062.299577,10.79540362,2.261763098,5.529853601
250.75,48796,9.5,247658.93,610639,745.3438608,10.79540362,2.251291799,5.524456427
251.128,48796,9.4,248588.435,610639,732.134416,10.79540362,2.240709689,5.525962769
252.102,48796,9.3,249517.94,610639,801.1382472,10.79540362,2.2300144,5.529833768
252.422,48796,9.6,250447.445,610639,1114.232508,10.79540362,2.261763098,5.53110229
252.96,51395,9.1,251376.955,623050,674.3023648,10.84729617,2.208274414,5.533231373
253.554,51395,9.6,252901.277,623050,601.9496723,10.84729617,2.261763098,5.535576818
254.707,51395,9.5,254425.599,623050,631.6595455,10.84729617,2.251291799,5.540113865
247.207,51395,9.2,255949.921,623050,1467.267613,10.84729617,2.219203484,5.510226042
248.1,51395,8.5,257474.243,623050,1287.456552,10.84729617,2.140066163,5.513831891
248.348,51395,8.6,258998.565,623050,726.3495886,10.84729617,2.151762203,5.514830988
251.163,51395,9,260522.887,623050,866.5644814,10.84729617,2.197224577,5.526102131
252.378,51395,8.9,262047.209,623050,1273.492223,10.84729617,2.186051277,5.530927964
252.963,51395,8.6,263571.531,623050,696.6505274,10.84729617,2.151762203,5.533243233
260.876,51395,8.4,265095.853,623050,726.9101674,10.84729617,2.128231706,5.564045199
261.905,51395,8.2,266620.175,623050,872.7551144,10.84729617,2.104134154,5.567981843
262.564,51395,8.1,268144.497,623050,1158.13147,10.84729617,2.091864062,5.570494862
262.73,55810,7.8,269668.824,636495,685.4137734,10.92970834,2.054123734,5.571126889
262.493,55810,8.2,270884.628,636495,1174.471402,10.92970834,2.104134154,5.570224415
263.374,55810,8.1,272100.432,636495,1710.277242,10.92970834,2.091864062,5.573575075
263.35,55810,7.8,273316.236,636495,1284.895334,10.92970834,2.054123734,5.573483946
264.302,55810,6.9,274532.04,636495,1367.562864,10.92970834,1.931521412,5.577092389
264.724,55810,7.2,275747.844,636495,1868.604361,10.92970834,1.974081026,5.578687774
265.684,55810,7.5,276963.648,636495,1631.582807,10.92970834,2.014903021,5.582307633
266.755,55810,7.5,278179.452,636495,1490.844465,10.92970834,2.014903021,5.586330634
268.22,55810,7.1,279395.256,636495,1371.338293,10.92970834,1.960094784,5.591807539
268.596,55810,6.6,280611.06,636495,1607.798201,10.92970834,1.887069649,5.593208392
270.314,55810,6.4,281826.864,636495,1187.532235,10.92970834,1.85629799,5.599584246
270.662,55810,6.4,283042.668,636495,1288.595416,10.92970834,1.85629799,5.60087081
